Date,Open,High,Low,Close,Adj Close,Volume
1998-05-01,482.890015,487.540009,445.600006,456.619995,456.619995,11477140000
1998-06-01,456.619995,457.660004,433.660004,457.390015,457.390015,13551970000
1998-07-01,457.390015,464.329987,419.750000,419.750000,419.750000,14194800000
1998-08-01,419.750000,420.179993,337.839996,337.950012,337.950012,15071550000
1998-09-01,337.950012,376.970001,335.869995,363.589996,363.589996,16714080000
1998-10-01,363.589996,379.230011,303.869995,378.160004,378.160004,18001650000
1998-11-01,378.160004,403.140015,378.160004,397.750000,397.750000,13451280000
1998-12-01,397.750000,421.980011,387.609985,421.959991,421.959991,15181450000
1999-01-01,421.959991,435.299988,412.640015,427.220001,427.220001,16213500000
1999-02-01,427.220001,429.130005,388.579987,392.260010,392.260010,14555860000
1999-03-01,392.239990,403.369995,381.959991,397.630005,397.630005,18002500000
1999-04-01,397.630005,437.690002,396.290009,432.809998,432.809998,18523200000
1999-05-01,432.809998,452.500000,426.040009,438.679993,438.679993,15880260000
1999-06-01,438.679993,460.209991,431.040009,457.679993,457.679993,16079170000
1999-07-01,457.679993,465.799988,439.799988,444.769989,444.769989,15332930000
1999-08-01,444.769989,445.510010,417.070007,427.829987,427.829987,15818550000
1999-09-01,427.829987,441.410004,414.200012,427.299988,427.299988,16438700000
1999-10-01,427.299988,430.720001,406.329987,428.640015,428.640015,18832000000
1999-11-01,428.640015,463.200012,428.640015,454.079987,454.079987,18384820000
1999-12-01,454.079987,504.750000,451.809998,504.750000,504.750000,19640690000
2000-01-01,504.760010,540.599976,467.559998,496.230011,496.230011,21494400000
2000-02-01,496.230011,577.719971,492.649994,577.710022,577.710022,20912000000
2000-03-01,577.710022,614.159973,524.270020,539.090027,539.090027,26156200000
2000-04-01,539.020020,545.900024,441.559998,506.250000,506.250000,20106460000
2000-05-01,506.250000,520.320007,443.989990,476.179993,476.179993,19898300000
2000-06-01,476.179993,530.409973,476.179993,517.229980,517.229980,21738300000
2000-07-01,517.239990,545.710022,487.390015,500.640015,500.640015,19089100000
2000-08-01,500.640015,539.140015,489.239990,537.890015,537.890015,20355500000
2000-09-01,537.890015,542.820007,502.899994,521.369995,521.369995,20838300000
2000-10-01,521.369995,523.409973,455.630005,497.679993,497.679993,25951400000
2000-11-01,497.679993,508.859985,440.760010,445.940002,445.940002,20532300000
2000-12-01,445.940002,495.839996,440.779999,483.529999,483.529999,22205810000
2001-01-01,483.549988,515.219971,457.559998,508.339996,508.339996,24223110000
2001-02-01,508.329987,510.940002,465.070007,474.369995,474.369995,21617600000
2001-03-01,474.380005,485.500000,419.700012,450.529999,450.529999,24872940000
2001-04-01,450.529999,490.250000,424.640015,485.320007,485.320007,23591480000
2001-05-01,485.309998,519.890015,480.470001,496.500000,496.500000,24525900000
2001-06-01,496.500000,516.479980,482.190002,512.640015,512.640015,24748030000
2001-07-01,513.280029,513.280029,471.359985,484.779999,484.779999,23793710000
2001-08-01,484.779999,491.890015,465.420013,468.559998,468.559998,23359200000
2001-09-01,468.559998,472.809998,373.619995,404.869995,404.869995,25121190000
2001-10-01,404.869995,439.809998,393.000000,428.170013,428.170013,29956740000
2001-11-01,428.170013,465.920013,424.839996,460.779999,460.779999,26330000000
2001-12-01,460.790009,494.709991,455.510010,488.500000,488.500000,25128570000
2002-01-01,488.500000,503.079987,468.040009,483.100006,483.100006,29746200000
2002-02-01,483.100006,484.000000,457.049988,469.359985,469.359985,26047600000
2002-03-01,469.369995,509.190002,469.190002,506.459991,506.459991,26563200000
2002-04-01,506.459991,523.789978,493.760010,510.670013,510.670013,28568900000
2002-05-01,510.670013,515.260010,482.600006,487.470001,487.470001,26874200000
2002-06-01,487.470001,487.589996,441.760010,462.640015,462.640015,28503770000
2002-07-01,462.630005,462.630005,354.109985,392.420013,392.420013,42228720000
2002-08-01,392.420013,410.920013,367.119995,390.959991,390.959991,29298400000
2002-09-01,390.959991,397.549988,354.299988,362.269989,362.269989,27723710000
2002-10-01,362.269989,376.709991,324.899994,373.500000,373.500000,37856310000
2002-11-01,373.500000,411.130005,369.140015,406.350006,406.350006,29170060000
2002-12-01,406.359985,413.640015,379.670013,383.089996,383.089996,25993640000
2003-01-01,383.089996,399.549988,366.589996,372.170013,372.170013,30749580000
2003-02-01,372.170013,373.730011,351.779999,360.519989,360.519989,25235300000
2003-03-01,360.519989,376.369995,343.059998,364.540009,364.540009,30080030000
2003-04-01,364.540009,399.850006,363.730011,398.679993,398.679993,29681610000
2003-05-01,398.679993,441.010010,394.190002,441.000000,441.000000,30952100000
2003-06-01,441.000000,465.730011,437.200012,448.369995,448.369995,31219400000
2003-07-01,448.350006,481.369995,441.220001,476.019989,476.019989,31553200000
2003-08-01,476.019989,499.420013,449.970001,497.420013,497.420013,24881470000
2003-09-01,497.420013,520.609985,482.130005,487.679993,487.679993,29940110000
2003-10-01,487.679993,536.409973,487.679993,528.219971,528.219971,32298500000
2003-11-01,528.219971,547.559998,519.840027,546.510010,546.510010,24463220000
2003-12-01,546.510010,566.739990,526.419983,556.909973,556.909973,27839130000
2004-01-01,556.909973,601.500000,556.909973,580.760010,580.760010,33101350000
